id,name,artist_id,,,,
300848,Fear Itself,ARD7TVE1187B99BFB1,,,,
300822,Dimensions,ARMJAGH1187FB546F3,,,,
514953,Las Numero 1 De La Sonora Santanera,ARKRRTF1187B9984DA,,,,
287650,Friend Or Foe,AR7G5I41187FB4CE6C,,,,
611336,Muertos Vivos,ARXR32B1187FB57099,,,,
41838,Ordinary Day,ARKFYS91187B98E58F,,,,
25824,Da Ghetto Psychic,ARD0S291187B9B7BF5,,,,
8876,Gin & Phonic,AR10USD1187B99F3F1,,,,
358182,Pink World,AR8ZCNI1187B9A069B,,,,
692313,Superinstrumental,ARNTLGG11E2835DDB9,,,,
539081,I Need You,ARGSJW91187B9B1D6B,,,,
163874,The Way Home,ARC43071187B990240,,,,
575792,Placer & Castigo,ARL7K851187B99ACD2,,,,
815863,Arrivederci,ARHHO3O1187B989413,,,,
25811,Dancing On The Ceiling,ARIK43K1187B9AE54C,,,,
135122,Outskirts,ARD842G1187B997376,,,,
149958,Cross Currents,ARIG6O41187B988BDD,,,,
535188,Panjtan Ka Ghulam,AR1ZHYZ1187FB3C717,,,,
372309,Gold,ARYKCQI1187FB3B18F,,,,
541101,Whatever Happened To Boredom?,ARNPAGP1241B9C7FD4,,,,
605134,1942-1952 Jimmy Wakely,ARQGYP71187FB44566,,,,
239740,All The Good Times,ARI3BMM1187FB4255E,,,,
386995,Un cafe_ setanta matins,AR5KOSW1187FB35FF4,,,,
223365,Miss Machine,ARMAC4T1187FB3FA4C,,,,
652784,Sue Thompson - Her Very Best,AR47JEX1187B995D81,,,,
45730,Live,ARGIWFO1187B9B55B7,,,,
672016,Strictly Confidential,ARNTLGG11E2835DDB9,,,,
160881,The Real Twang Thang,ARDNS031187B9924F0,,,,
59744,Willie Bobo's Finest Hour,AROUOZZ1187B9ABE51,,,,
373723,Shake A Hand,ARH4Z031187B9A71F2,,,,
228326,Occasional Rain,ARB29H41187B98F0EF,,,,
463514,The Emperor Falls,AR1Y2PT1187FB5B9CE,,,,
643400,Best of The Shangri-Las,ARAJPHH1187FB5566A,,,,
663761,20 Of Her Best,AR0RCMP1187FB3F427,,,,
12882,Who Is Mike Jones?,AREBBGV1187FB523D2,,,,
270281,Tibiri Tabara,ARGUVEV1187B98BA17,,,,
244586,Piouhgd + Widowermaker!,ARPQ4Z01187FB3A736,,,,
157648,Profities,ARNQAVF11F4C844C04,,,,
644631,Cracks,ARXUT4W1187FB48BEB,,,,
730551,Pieces Of Time,ARDD1RC1187B9B52B4,,,,
709879,The Palest Grey,ARLGWFM1187FB4AC9F,,,,
706005,A Match & Some Gasoline,ARWYVP51187B98C516,,,,
42595,Jump Back - The Best Of The Rolling Stones_ '71-'93,ARFCUN31187B9AD578,,,,
782470,Lo Mejor con La Orq. Broadway,AR6YDKV1187B989230,,,,
28723,Grown Man,ARV1JVD1187B9AD195,,,,
557761,A Bothered Mind,AR7TTS41187B9B42D3,,,,
417945,Greatest Hits,ART3O5Z1187B9AB043,,,,
575531,Bluesman,AR5U94U1187FB5CDCF,,,,
234425,Etiquette,ARRJNTE1187FB44E12,,,,
505301,Ec8or,AR6IRG41187B9A4D98,,,,
74655,Too Much Too Soon,ARS1OWB1187B99EEAD,,,,
322532,Bossa Nova Stories,ARGMXQW1187FB54C34,,,,
14592,Love_ Peace & Nappiness,AROEL1B1187B988B90,,,,
515081,Germicide,AR8W8DN1187FB35ED0,,,,
765750,Mafu�,ARUWLCL1187FB549B8,,,,
17220,The Road To Hell Part 2,AR3793X1187FB50CB3,,,,
617077,Vanguard Visionaries,ARINEWW1187FB5577E,,,,
278999,Be Yourself Tonight,ARDGB6U1187FB3AD07,,,,
19601,Hometown 2001,AR2J2WF1187FB46271,,,,
38599,Eat / Kiss: Music For The Films By Andy Warhol,ARUI8651187B9ACF52,,,,
619882,The Ultimate Most Relaxing New Age Piano in the Universe,AR89DTT1187B9A7ED5,,,,
618615,Classic Gold: Best of All,ARMD0G81187B99A519,,,,
681639,The Berzerker,AR0VZWC1187B99BA57,,,,
449471,Holy Roller Novocaine,ARF2EHS1187B994F4E,,,,
321356,Jeux de dames_ vol. 1 (r������alisation,ARZKRD01187FB45FD2,,,,
